Yr,Loc,Env,Ana,Plot,Trt,Rep,Row,Pop,Fung,DI%,DS,DIX,Ybu,Ykg
2018,Kanawha ,6,Part+,111,23,1,30,200,Amodel,13.33,2.75,12.22,64.71,4351.7475
2018,Kanawha ,6,Part+,112,24,1,30,200,AR1R3,0,0,0,60.5,4068.625
2018,Kanawha ,6,Part+,201,24,2,30,200,AR1R3,0,0,0,64.35,4327.5375
2018,Kanawha ,6,Part+,202,19,2,30,170,NT,0,0,0,62.61,4210.5225
2018,Kanawha ,6,Part+,203,14,2,30,110,Amodel,0,0,0,57.59,3872.9275
2018,Kanawha ,6,Part+,204,20,2,30,170,Amodel,0,0,0,64.33,4326.1925
2018,Kanawha ,6,Part+,205,21,2,30,170,AR1R3,0,0,0,65.6,4411.6
2018,Kanawha ,6,Part+,206,16,2,30,140,NT,0,0,0,59.06,3971.785
2018,Kanawha ,6,Part+,207,13,2,30,110,NT,0,0,0,58.15,3910.5875
2018,Kanawha ,6,Part+,208,15,2,30,110,AR1R3,0,0,0,56.68,3811.73
2018,Kanawha ,6,Part+,209,22,2,30,200,NT,0,0,0,56.27,3784.1575
2018,Kanawha ,6,Part+,210,18,2,30,140,AR1R3,0,0,0,58.69,3946.9025
2018,Kanawha ,6,Part+,211,23,2,30,200,Amodel,0,0,0,60.48,4067.28
2018,Kanawha ,6,Part+,212,17,2,30,140,Amodel,0,0,0,61.96,4166.81
2018,Kanawha ,6,Part+,301,17,3,30,140,Amodel,0,0,0,58.34,3923.365
2018,Kanawha ,6,Part+,302,23,3,30,200,Amodel,0,0,0,54.18,3643.605
2018,Kanawha ,6,Part+,303,19,3,30,170,NT,16.67,3,16.67,61.95,4166.1375
2018,Kanawha ,6,Part+,304,24,3,30,200,AR1R3,13.33,3,13.33,64.15,4314.0875
2018,Kanawha ,6,Part+,305,13,3,30,110,NT,6.67,3,6.67,61.59,4141.9275
2018,Kanawha ,6,Part+,306,15,3,30,110,AR1R3,0,0,0,56.72,3814.42
2018,Kanawha ,6,Part+,307,16,3,30,140,NT,0,0,0,58.89,3960.3525
2018,Kanawha ,6,Part+,308,14,3,30,110,Amodel,0,0,0,53.62,3605.945
2018,Kanawha ,6,Part+,309,20,3,30,170,Amodel,10,3,10,63.11,4244.1475
2018,Kanawha ,6,Part+,310,21,3,30,170,AR1R3,0,0,0,66.6,4478.85
2018,Kanawha ,6,Part+,311,18,3,30,140,AR1R3,0,0,0,60.19,4047.7775
2018,Kanawha ,6,Part+,312,22,3,30,200,NT,0,0,0,60.61,4076.0225
2018,Kanawha ,6,Part+,401,22,4,30,200,NT,23.33,3,23.33,56.54,3802.315
2018,Kanawha ,6,Part+,402,18,4,30,140,AR1R3,0,0,0,58.1,3907.225
2018,Kanawha ,6,Part+,403,15,4,30,110,AR1R3,0,0,0,57.52,3868.22
2018,Kanawha ,6,Part+,404,13,4,30,110,NT,3.33,3,3.33,47.35,3184.2875
2018,Kanawha ,6,Part+,405,19,4,30,170,NT,0,0,0,61.49,4135.2025
2018,Kanawha ,6,Part+,406,14,4,30,110,Amodel,0,0,0,52.39,3523.2275
2018,Kanawha ,6,Part+,407,20,4,30,170,Amodel,6.67,3,6.67,57.28,3852.08
2018,Kanawha ,6,Part+,408,17,4,30,140,Amodel,0,0,0,62.72,4217.92
2018,Kanawha ,6,Part+,409,21,4,30,170,AR1R3,3.33,3,3.33,64.28,4322.83
2018,Kanawha ,6,Part+,410,23,4,30,200,Amodel,33.33,3,33.33,60.79,4088.1275
2018,Kanawha ,6,Part+,411,24,4,30,200,AR1R3,0,0,0,64.17,4315.4325
2018,Kanawha ,6,Part+,412,16,4,30,140,NT,0,0,0,58.52,3935.47
2018,MI,8,Part+,.,20,2,30,170,Amodel,0,0,0,61.65,4145.9625
2018,MI,8,Part+,.,21,1,30,170,AR1R3,16.67,1,5.56,62.02,4170.845
2018,MI,8,Part+,.,13,1,30,110,NT,13.33,1,4.44,49.43,3324.1675
2018,MI,8,Part+,.,15,2,30,110,AR1R3,10,1,3.33,61.38,4127.805
2018,MI,8,Part+,.,15,1,30,110,AR1R3,10,1,3.33,46.65,3137.2125
2018,MI,8,Part+,.,20,4,30,170,Amodel,3.33,1,1.11,64.2,4317.45
2018,MI,8,Part+,.,21,3,30,170,AR1R3,20,1.17,7.78,68.5,4606.625
2018,MI,8,Part+,.,24,2,30,200,AR1R3,36.67,1.18,14.44,54.54,3667.815
2018,MI,8,Part+,.,16,1,30,140,NT,16.67,1.2,6.67,52.08,3502.38
2018,MI,8,Part+,.,14,4,30,110,Amodel,40,1.33,17.78,52.72,3545.42
2018,MI,8,Part+,.,15,4,30,110,AR1R3,10,1.33,4.44,59.78,4020.205
2018,MI,8,Part+,.,13,4,30,110,NT,23.33,1.43,11.11,55.46,3729.685
2018,MI,8,Part+,.,15,3,30,110,AR1R3,13.33,1.5,6.67,53.07,3568.9575
2018,MI,8,Part+,.,16,4,30,140,NT,23.33,1.57,12.22,56.53,3801.6425
2018,MI,8,Part+,.,18,3,30,140,AR1R3,23.33,1.57,12.22,49.19,3308.0275
2018,MI,8,Part+,.,20,1,30,170,Amodel,33.33,1.6,17.78,57.86,3891.085
2018,MI,8,Part+,.,23,3,30,200,Amodel,26.67,1.63,14.44,61.59,4141.9275
2018,MI,8,Part+,.,19,3,30,170,NT,26.67,1.63,14.44,57.14,3842.665
2018,MI,8,Part+,.,24,3,30,200,AR1R3,36.67,1.64,20,50.65,3406.2125
2018,MI,8,Part+,.,13,3,30,110,NT,40,1.67,22.22,55.72,3747.17
2018,MI,8,Part+,.,17,2,30,140,Amodel,10,1.67,5.56,51.21,3443.8725
2018,MI,8,Part+,.,17,4,30,140,Amodel,53.33,1.69,30,48.66,3272.385
2018,MI,8,Part+,.,19,4,30,170,NT,43.33,1.69,24.44,62.11,4176.8975
2018,MI,8,Part+,.,24,1,30,200,AR1R3,43.33,1.69,24.44,54.7,3678.575
2018,MI,8,Part+,.,17,1,30,140,Amodel,43.33,1.69,24.44,49.17,3306.6825
2018,MI,8,Part+,.,23,4,30,200,Amodel,33.33,1.7,18.89,54.43,3660.4175
2018,MI,8,Part+,.,23,2,30,200,Amodel,40,1.75,23.33,62.22,4184.295
2018,MI,8,Part+,.,18,2,30,140,AR1R3,26.67,1.75,15.56,51.35,3453.2875
2018,MI,8,Part+,.,14,3,30,110,Amodel,30,1.78,17.78,53.05,3567.6125
2018,MI,8,Part+,.,14,2,30,110,Amodel,33.33,1.8,20,51.03,3431.7675
2018,MI,8,Part+,.,17,3,30,140,Amodel,53.33,1.81,32.22,52.75,3547.4375
2018,MI,8,Part+,.,16,2,30,140,NT,43.33,1.92,27.78,48.79,3281.1275
2018,MI,8,Part+,.,22,4,30,200,NT,53.33,1.94,34.44,49.77,3347.0325
2018,MI,8,Part+,.,21,2,30,170,AR1R3,50,2,33.33,44.38,2984.555
2018,MI,8,Part+,.,22,2,30,200,NT,43.33,2,28.89,52,3497
2018,MI,8,Part+,.,21,4,30,170,AR1R3,40,2,26.67,67.53,4541.3925
2018,MI,8,Part+,.,18,1,30,140,AR1R3,13.33,2,8.89,53.39,3590.4775
2018,MI,8,Part+,.,14,1,30,110,Amodel,6.67,2,4.44,52.95,3560.8875
2018,MI,8,Part+,.,22,3,30,200,NT,76.67,2.04,52.22,50.87,3421.0075
2018,MI,8,Part+,.,19,1,30,170,NT,53.33,2.06,36.67,45.05,3029.6125
2018,MI,8,Part+,.,19,2,30,170,NT,33.33,2.1,23.33,51.58,3468.755
2018,MI,8,Part+,.,18,4,30,140,AR1R3,56.67,2.18,41.11,51.23,3445.2175
2018,MI,8,Part+,.,20,3,30,170,Amodel,33.33,2.2,24.44,55.76,3749.86
2018,MI,8,Part+,.,23,1,30,200,Amodel,60,2.22,44.44,52.18,3509.105
2018,MI,8,Part+,.,16,3,30,140,NT,40,2.33,31.11,58.99,3967.0775
2018,MI,8,Part+,.,22,1,30,200,NT,36.67,2.45,30,44.54,2995.315
2018,MI,8,Part+,.,13,2,30,110,NT,13.33,2.5,11.11,45.75,3076.6875
2018,MI,8,Part+,.,24,4,30,200,AR1R3,33.33,2.6,28.89,58.41,3928.0725
2018,Nashua,9,Part+,101,13,1,30,110,NT,0,0,0,57.24,3849.39
2018,Nashua,9,Part+,102,14,1,30,110,Amodel,0,0,0,56.26,3783.485
2018,Nashua,9,Part+,103,15,1,30,110,AR1R3,0,0,0,58.99,3967.0775
2018,Nashua,9,Part+,104,16,1,30,140,NT,0,0,0,52.35,3520.5375
2018,Nashua,9,Part+,105,17,1,30,140,Amodel,3.33,3,3.33,48.75,3278.4375
2018,Nashua,9,Part+,106,18,1,30,140,AR1R3,0,0,0,67.98,4571.655
2018,Nashua,9,Part+,107,19,1,30,170,NT,0,0,0,55.07,3703.4575
2018,Nashua,9,Part+,108,20,1,30,170,Amodel,0,0,0,57.37,3858.1325
2018,Nashua,9,Part+,109,21,1,30,170,AR1R3,0,0,0,57.97,3898.4825
2018,Nashua,9,Part+,110,22,1,30,200,NT,0,0,0,66.13,4447.2425
2018,Nashua,9,Part+,111,23,1,30,200,Amodel,0,0,0,65.88,4430.43
2018,Nashua,9,Part+,112,24,1,30,200,AR1R3,0,0,0,70.24,4723.64
2018,Nashua,9,Part+,201,24,2,30,200,AR1R3,0,0,0,48.21,3242.1225
2018,Nashua,9,Part+,202,19,2,30,170,NT,0,0,0,51.9,3490.275
2018,Nashua,9,Part+,203,14,2,30,110,Amodel,0,0,0,57.04,3835.94
2018,Nashua,9,Part+,204,20,2,30,170,Amodel,3.33,3,3.33,63.55,4273.7375
2018,Nashua,9,Part+,205,21,2,30,170,AR1R3,0,0,0,64.58,4343.005
2018,Nashua,9,Part+,206,16,2,30,140,NT,0,0,0,71.22,4789.545
2018,Nashua,9,Part+,207,13,2,30,110,NT,3.33,1,1.11,70.72,4755.92
2018,Nashua,9,Part+,208,15,2,30,110,AR1R3,0,0,0,68.42,4601.245
2018,Nashua,9,Part+,209,22,2,30,200,NT,0,0,0,67.98,4571.655
2018,Nashua,9,Part+,210,18,2,30,140,AR1R3,0,0,0,63.36,4260.96
2018,Nashua,9,Part+,211,23,2,30,200,Amodel,0,0,0,75.28,5062.58
2018,Nashua,9,Part+,212,17,2,30,140,Amodel,0,0,0,73.55,4946.2375
2018,Nashua,9,Part+,301,17,3,30,140,Amodel,0,0,0,64.81,4358.4725
2018,Nashua,9,Part+,302,23,3,30,200,Amodel,0,0,0,56.86,3823.835
2018,Nashua,9,Part+,303,19,3,30,170,NT,0,0,0,51.53,3465.3925
2018,Nashua,9,Part+,304,24,3,30,200,AR1R3,0,0,0,53.22,3579.045
2018,Nashua,9,Part+,305,13,3,30,110,NT,0,0,0,54.39,3657.7275
2018,Nashua,9,Part+,306,15,3,30,110,AR1R3,0,0,0,59.97,4032.9825
2018,Nashua,9,Part+,307,16,3,30,140,NT,0,0,0,56.06,3770.035
2018,Nashua,9,Part+,308,14,3,30,110,Amodel,0,0,0,51.63,3472.1175
2018,Nashua,9,Part+,309,20,3,30,170,Amodel,0,0,0,58.26,3917.985
2018,Nashua,9,Part+,310,21,3,30,170,AR1R3,0,0,0,59.52,4002.72
2018,Nashua,9,Part+,311,18,3,30,140,AR1R3,0,0,0,62.1,4176.225
2018,Nashua,9,Part+,312,22,3,30,200,NT,0,0,0,60.84,4091.49
2018,Nashua,9,Part+,401,22,4,30,200,NT,0,0,0,69.56,4677.91
2018,Nashua,9,Part+,402,18,4,30,140,AR1R3,0,0,0,63.33,4258.9425
2018,Nashua,9,Part+,403,15,4,30,110,AR1R3,0,0,0,58.52,3935.47
2018,Nashua,9,Part+,404,13,4,30,110,NT,3.33,3,3.33,55.51,3733.0475
2018,Nashua,9,Part+,405,19,4,30,170,NT,0,0,0,62.88,4228.68
2018,Nashua,9,Part+,406,14,4,30,110,Amodel,0,0,0,58.53,3936.1425
2018,Nashua,9,Part+,407,20,4,30,170,Amodel,0,0,0,59.92,4029.62
2018,Nashua,9,Part+,408,17,4,30,140,Amodel,0,0,0,54.02,3632.845
2018,Nashua,9,Part+,409,21,4,30,170,AR1R3,0,0,0,64.44,4333.59
2018,Nashua,9,Part+,410,23,4,30,200,Amodel,0,0,0,58.01,3901.1725
2018,Nashua,9,Part+,411,24,4,30,200,AR1R3,0,0,0,61.63,4144.6175
2018,Nashua,9,Part+,412,16,4,30,140,NT,0,0,0,55.86,3756.585
2018,Owatonna,10,Part+,101,13,1,30,110,NT,0,0,0,55.22,3713.545
2018,Owatonna,10,Part+,102,14,1,30,110,Amodel,3.33,3,3.33,66.48,4470.78
2018,Owatonna,10,Part+,103,15,1,30,110,AR1R3,0,0,0,66.24,4454.64
2018,Owatonna,10,Part+,104,16,1,30,140,NT,6.67,3,6.67,71.18,4786.855
2018,Owatonna,10,Part+,105,17,1,30,140,Amodel,0,0,0,63.56,4274.41
2018,Owatonna,10,Part+,106,18,1,30,140,AR1R3,3.33,1,1.11,70.53,4743.1425
2018,Owatonna,10,Part+,107,19,1,30,170,NT,0,0,0,63.72,4285.17
2018,Owatonna,10,Part+,108,20,1,30,170,Amodel,0,0,0,69.91,4701.4475
2018,Owatonna,10,Part+,109,21,1,30,170,AR1R3,0,0,0,57.71,3880.9975
2018,Owatonna,10,Part+,110,22,1,30,200,NT,3.33,2,2.22,60.41,4062.5725
2018,Owatonna,10,Part+,111,23,1,30,200,Amodel,0,0,0,63.97,4301.9825
2018,Owatonna,10,Part+,112,24,1,30,200,AR1R3,0,0,0,61.47,4133.8575
2018,Owatonna,10,Part+,201,24,2,30,200,AR1R3,0,0,0,75.34,5066.615
2018,Owatonna,10,Part+,202,19,2,30,170,NT,0,0,0,71.07,4779.4575
2018,Owatonna,10,Part+,203,14,2,30,110,Amodel,0,0,0,67.39,4531.9775
2018,Owatonna,10,Part+,204,20,2,30,170,Amodel,0,0,0,72.29,4861.5025
2018,Owatonna,10,Part+,205,21,2,30,170,AR1R3,3.33,3,3.33,81.62,5488.945
2018,Owatonna,10,Part+,206,16,2,30,140,NT,3.33,1,1.11,69.53,4675.8925
2018,Owatonna,10,Part+,207,13,2,30,110,NT,6.67,1,2.22,72.05,4845.3625
2018,Owatonna,10,Part+,208,15,2,30,110,AR1R3,0,0,0,69.49,4673.2025
2018,Owatonna,10,Part+,209,22,2,30,200,NT,3.33,2,2.22,56.05,3769.3625
2018,Owatonna,10,Part+,210,18,2,30,140,AR1R3,0,0,0,68.27,4591.1575
2018,Owatonna,10,Part+,211,23,2,30,200,Amodel,6.67,2.5,5.56,63.14,4246.165
2018,Owatonna,10,Part+,212,17,2,30,140,Amodel,0,0,0,70.31,4728.3475
2018,Owatonna,10,Part+,301,17,3,30,140,Amodel,0,0,0,69.01,4640.9225
2018,Owatonna,10,Part+,302,23,3,30,200,Amodel,0,0,0,68.89,4632.8525
2018,Owatonna,10,Part+,303,19,3,30,170,NT,0,0,0,66.88,4497.68
2018,Owatonna,10,Part+,304,24,3,30,200,AR1R3,0,0,0,65.47,4402.8575
2018,Owatonna,10,Part+,305,13,3,30,110,NT,0,0,0,67.08,4511.13
2018,Owatonna,10,Part+,306,15,3,30,110,AR1R3,0,0,0,69.01,4640.9225
2018,Owatonna,10,Part+,307,16,3,30,140,NT,3.33,2,2.22,63.59,4276.4275
2018,Owatonna,10,Part+,308,14,3,30,110,Amodel,16.67,1.8,10,67.33,4527.9425
2018,Owatonna,10,Part+,309,20,3,30,170,Amodel,3.33,3,3.33,69.19,4653.0275
2018,Owatonna,10,Part+,310,21,3,30,170,AR1R3,0,0,0,62.92,4231.37
2018,Owatonna,10,Part+,311,18,3,30,140,AR1R3,0,0,0,67.32,4527.27
2018,Owatonna,10,Part+,312,22,3,30,200,NT,10,2.67,8.89,66.36,4462.71
2018,Owatonna,10,Part+,401,22,4,30,200,NT,0,0,0,70.86,4765.335
2018,Owatonna,10,Part+,402,18,4,30,140,AR1R3,0,0,0,68.38,4598.555
2018,Owatonna,10,Part+,403,15,4,30,110,AR1R3,0,0,0,51.17,3441.1825
2018,Owatonna,10,Part+,404,13,4,30,110,NT,0,0,0,65.92,4433.12
2018,Owatonna,10,Part+,405,19,4,30,170,NT,6.67,2.5,5.56,64.7,4351.075
2018,Owatonna,10,Part+,406,14,4,30,110,Amodel,0,0,0,67.59,4545.4275
2018,Owatonna,10,Part+,407,20,4,30,170,Amodel,0,0,0,70.29,4727.0025
2018,Owatonna,10,Part+,408,17,4,30,140,Amodel,0,0,0,60.85,4092.1625
2018,Owatonna,10,Part+,409,21,4,30,170,AR1R3,10,1.33,4.44,64.18,4316.105
2018,Owatonna,10,Part+,410,23,4,30,200,Amodel,0,0,0,66.53,4474.1425
2018,Owatonna,10,Part+,411,24,4,30,200,AR1R3,0,0,0,66.09,4444.5525
2018,Owatonna,10,Part+,412,16,4,30,140,NT,0,0,0,66.2,4451.95
2018,Stewertville,11,Part+,101,13,1,30,110,NT,0,0,0,34.51,2320.7975
2018,Stewertville,11,Part+,102,14,1,30,110,Amodel,0,0,0,29.11,1957.6475
2018,Stewertville,11,Part+,103,15,1,30,110,AR1R3,0,0,0,32.87,2210.5075
2018,Stewertville,11,Part+,104,16,1,30,140,NT,0,0,0,35.12,2361.82
2018,Stewertville,11,Part+,105,17,1,30,140,Amodel,0,0,0,36.79,2474.1275
2018,Stewertville,11,Part+,106,18,1,30,140,AR1R3,0,0,0,35.78,2406.205
2018,Stewertville,11,Part+,107,19,1,30,170,NT,0,0,0,39.17,2634.1825
2018,Stewertville,11,Part+,108,20,1,30,170,Amodel,0,0,0,37.03,2490.2675
2018,Stewertville,11,Part+,109,21,1,30,170,AR1R3,0,0,0,38.99,2622.0775
2018,Stewertville,11,Part+,110,22,1,30,200,NT,3.33,2,2.22,41.79,2810.3775
2018,Stewertville,11,Part+,111,23,1,30,200,Amodel,0,0,0,36.53,2456.6425
2018,Stewertville,11,Part+,112,24,1,30,200,AR1R3,0,0,0,39.24,2638.89
2018,Stewertville,11,Part+,201,24,2,30,200,AR1R3,0,0,0,43.4,2918.65
2018,Stewertville,11,Part+,202,19,2,30,170,NT,0,0,0,36.31,2441.8475
2018,Stewertville,11,Part+,203,14,2,30,110,Amodel,0,0,0,33.21,2233.3725
2018,Stewertville,11,Part+,204,20,2,30,170,Amodel,0,0,0,41.84,2813.74
2018,Stewertville,11,Part+,205,21,2,30,170,AR1R3,0,0,0,38.65,2599.2125
2018,Stewertville,11,Part+,206,16,2,30,140,NT,0,0,0,41.44,2786.84
2018,Stewertville,11,Part+,207,13,2,30,110,NT,0,0,0,37.86,2546.085
2018,Stewertville,11,Part+,208,15,2,30,110,AR1R3,0,0,0,25.17,1692.6825
2018,Stewertville,11,Part+,209,22,2,30,200,NT,0,0,0,40.64,2733.04
2018,Stewertville,11,Part+,210,18,2,30,140,AR1R3,0,0,0,38.29,2575.0025
2018,Stewertville,11,Part+,211,23,2,30,200,Amodel,0,0,0,47.33,3182.9425
2018,Stewertville,11,Part+,212,17,2,30,140,Amodel,0,0,0,38.76,2606.61
2018,Stewertville,11,Part+,301,17,3,30,140,Amodel,0,0,0,40.59,2729.6775
2018,Stewertville,11,Part+,302,23,3,30,200,Amodel,0,0,0,45.48,3058.53
2018,Stewertville,11,Part+,303,19,3,30,170,NT,0,0,0,44.68,3004.73
2018,Stewertville,11,Part+,304,24,3,30,200,AR1R3,0,0,0,42.74,2874.265
2018,Stewertville,11,Part+,305,13,3,30,110,NT,0,0,0,38.19,2568.2775
2018,Stewertville,11,Part+,306,15,3,30,110,AR1R3,0,0,0,40.63,2732.3675
2018,Stewertville,11,Part+,307,16,3,30,140,NT,0,0,0,46.07,3098.2075
2018,Stewertville,11,Part+,308,14,3,30,110,Amodel,0,0,0,42.78,2876.955
2018,Stewertville,11,Part+,309,20,3,30,170,Amodel,0,0,0,47.36,3184.96
2018,Stewertville,11,Part+,310,21,3,30,170,AR1R3,0,0,0,42.89,2884.3525
2018,Stewertville,11,Part+,311,18,3,30,140,AR1R3,0,0,0,36.85,2478.1625
2018,Stewertville,11,Part+,312,22,3,30,200,NT,3.33,1,1.11,45.16,3037.01
2018,Stewertville,11,Part+,401,22,4,30,200,NT,0,0,0,43.72,2940.17
2018,Stewertville,11,Part+,402,18,4,30,140,AR1R3,0,0,0,37.24,2504.39
2018,Stewertville,11,Part+,403,15,4,30,110,AR1R3,0,0,0,30.83,2073.3175
2018,Stewertville,11,Part+,404,13,4,30,110,NT,0,0,0,31.79,2137.8775
2018,Stewertville,11,Part+,405,19,4,30,170,NT,0,0,0,39.98,2688.655
2018,Stewertville,11,Part+,406,14,4,30,110,Amodel,0,0,0,34.06,2290.535
2018,Stewertville,11,Part+,407,20,4,30,170,Amodel,0,0,0,36.94,2484.215
2018,Stewertville,11,Part+,408,17,4,30,140,Amodel,0,0,0,38.59,2595.1775
2018,Stewertville,11,Part+,409,21,4,30,170,AR1R3,0,0,0,40.22,2704.795
2018,Stewertville,11,Part+,410,23,4,30,200,Amodel,3.33,2,2.22,43.07,2896.4575
2018,Stewertville,11,Part+,411,24,4,30,200,AR1R3,3.33,2,2.22,43.7,2938.825
2018,Stewertville,11,Part+,412,16,4,30,140,NT,0,0,0,43.13,2900.4925
2019,Kanawha,16,Part+,101,13,1,30,110,NT,3.33,2,2.22,67.27,4523.9075
2019,Kanawha,16,Part+,102,14,1,30,110,Amodel,3.33,3,3.33,67.42,4533.995
2019,Kanawha,16,Part+,103,15,1,30,110,AR1R3,0,0,0,71.03,4776.7675
2019,Kanawha,16,Part+,104,16,1,30,140,NT,13.33,3,13.33,67.58,4544.755
2019,Kanawha,16,Part+,105,17,1,30,140,Amodel,26.67,2.75,24.44,71.04,4777.44
2019,Kanawha,16,Part+,106,18,1,30,140,AR1R3,3.33,2,2.22,59.77,4019.5325
2019,Kanawha,16,Part+,107,19,1,30,170,NT,13.33,3,13.33,72.8,4895.8
2019,Kanawha,16,Part+,108,20,1,30,170,Amodel,16.67,2.8,15.56,67.14,4515.165
2019,Kanawha,16,Part+,109,21,1,30,170,AR1R3,16.67,2.8,15.56,63.2,4250.2
2019,Kanawha,16,Part+,110,22,1,30,200,NT,50,3,50,57.64,3876.29
2019,Kanawha,16,Part+,111,23,1,30,200,Amodel,3.33,2,2.22,66.81,4492.9725
2019,Kanawha,16,Part+,112,24,1,30,200,AR1R3,0,0,0,69.48,4672.53
2019,Kanawha,16,Part+,201,18,2,30,140,AR1R3,0,0,0,76.03,5113.0175
2019,Kanawha,16,Part+,202,19,2,30,170,NT,20,2.83,18.89,69.45,4670.5125
2019,Kanawha,16,Part+,203,22,2,30,200,NT,13.33,3,13.33,63.79,4289.8775
2019,Kanawha,16,Part+,204,21,2,30,170,AR1R3,3.33,3,3.33,69.39,4666.4775
2019,Kanawha,16,Part+,205,14,2,30,110,Amodel,6.67,3,6.67,69.45,4670.5125
2019,Kanawha,16,Part+,206,16,2,30,140,NT,16.67,3,16.67,58.25,3917.3125
2019,Kanawha,16,Part+,207,15,2,30,110,AR1R3,3.33,3,3.33,47.91,3221.9475
2019,Kanawha,16,Part+,208,20,2,30,170,Amodel,0,0,0,62.2,4182.95
2019,Kanawha,16,Part+,209,24,2,30,200,AR1R3,6.67,3,6.67,67.53,4541.3925
2019,Kanawha,16,Part+,210,17,2,30,140,Amodel,0,0,0,64.6,4344.35
2019,Kanawha,16,Part+,211,23,2,30,200,Amodel,3.33,3,3.33,70.21,4721.6225
2019,Kanawha,16,Part+,212,13,2,30,110,NT,10,3,10,52.07,3501.7075
2019,Kanawha,16,Part+,301,22,3,30,200,NT,0,0,0,71.05,4778.1125
2019,Kanawha,16,Part+,301,14,3,30,110,Amodel,0,0,0,61.11,4109.6475
2019,Kanawha,16,Part+,303,17,3,30,140,Amodel,0,0,0,68.81,4627.4725
2019,Kanawha,16,Part+,304,18,3,30,140,AR1R3,13.33,2.75,12.22,69.54,4676.565
2019,Kanawha,16,Part+,305,15,3,30,110,AR1R3,6.67,3,6.67,71.11,4782.1475
2019,Kanawha,16,Part+,306,13,3,30,110,NT,26.67,3,26.67,60.7,4082.075
2019,Kanawha,16,Part+,307,23,3,30,200,Amodel,66.67,3,66.67,46.39,3119.7275
2019,Kanawha,16,Part+,308,24,3,30,200,AR1R3,13.33,2.5,11.11,71.36,4798.96
2019,Kanawha,16,Part+,309,16,3,30,140,NT,16.67,3,16.67,61.99,4168.8275
2019,Kanawha,16,Part+,310,21,3,30,170,AR1R3,6.67,2,4.44,71.63,4817.1175
2019,Kanawha,16,Part+,311,20,3,30,170,Amodel,0,0,0,72.94,4905.215
2019,Kanawha,16,Part+,312,19,3,30,170,NT,23.33,3,23.33,61.68,4147.98
2019,Kanawha,16,Part+,401,21,4,30,170,AR1R3,16.67,3,16.67,70.12,4715.57
2019,Kanawha,16,Part+,402,18,4,30,140,AR1R3,26.67,2.75,24.44,61.88,4161.43
2019,Kanawha,16,Part+,403,13,4,30,110,NT,0,0,0,57.87,3891.7575
2019,Kanawha,16,Part+,404,23,4,30,200,Amodel,0,0,0,61.53,4137.8925
2019,Kanawha,16,Part+,405,22,4,30,200,NT,13.33,2.75,12.22,55.84,3755.24
2019,Kanawha,16,Part+,406,17,4,30,140,Amodel,0,0,0,59.76,4018.86
2019,Kanawha,16,Part+,407,14,4,30,110,Amodel,0,0,0,47.32,3182.27
2019,Kanawha,16,Part+,408,15,4,30,110,AR1R3,13.33,3,13.33,57.13,3841.9925
2019,Kanawha,16,Part+,409,19,4,30,170,NT,10,3,10,54.77,3683.2825
2019,Kanawha,16,Part+,410,16,4,30,140,NT,10,3,10,57.79,3886.3775
2019,Kanawha,16,Part+,411,24,4,30,200,AR1R3,0,0,0,56.33,3788.1925
2019,Kanawha,16,Part+,412,20,4,30,170,Amodel,20,3,20,53.84,3620.74
